Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C6H14O6,CHO,182.07904,6,14,6,0,0,0,1.00,2.33,0.00,0.00,0.00,4147666.813,12050310.12,12807150.37,11900254.34,11457400.24,13580816.94
C21H34O3,CHO,334.2508,21,34,3,0,0,0,0.14,1.62,0.00,0.00,0.00,160176.5084,387590.2803,270825.7366,159511.9523,197214.3307,
C23H37O13N5,CHON,591.2387733,23,37,13,5,0,0,0.57,1.61,0.22,0.00,0.00,,524.7760826,,523996.3061,53360.94663,1527.765594
C26H24O5,CHO,416.1624,26,24,5,0,0,0,0.19,0.92,0.00,0.00,0.00,550767.2144,54152.6772,373123.2367,957427.8507,343192.1465,1745523.621
C14H25O2,CHO,231.2275,14,25,2,0,0,0,0.14,1.79,0.00,0.00,0.00,1714003.225,3956555.471,4541304.12,1795850.698,1402357.013,2558.154081
C20H32O5,CHO,352.225,20,32,5,0,0,0,0.25,1.60,0.00,0.00,0.00,158360.601,107795.0225,535250.3576,877603.1919,1213757.014,1112.85463
C25H37O10N6P,CHONP,582.2649433,25,37,10,6,1,0,0.40,1.48,0.24,0.04,6.00,25503.42394,23992.79121,5682.419422,135214.4973,72610.61378,27200.99121
C23H37O8N5S,CHONS,543.2362733,23,37,8,5,0,1,0.35,1.61,0.22,0.00,0.00,1483555.579,1475904.76,1631667.981,284623.2596,1038181.652,440428.1465
C27H42O5N8,CHON,558.3278033,27,42,5,8,0,0,0.19,1.56,0.30,0.00,0.00,675911.3825,939006.029,668337.7401,1679045.655,2918003.415,2906913.759
C15H10O7,CHO,302.042655,15,10,7,0,0,0,0.47,0.67,0.00,0.00,0.00,40296.0814,110090.7292,72672.89621,1012236.316,2077922.638,65383.28428
