Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C22H41O10N5,CHON,535.2853433,22,41,10,5,0,0,0.45,1.86,0.23,0.00,0.00,64432.37823,482463.3386,613346.4948,973605.2291,1011470.747,1541794.477
C21H37O11N7,CHON,563.2551033,21,37,11,7,0,0,0.52,1.76,0.33,0.00,0.00,199069.4866,452470.5411,590346.4906,1874323.343,1406159.336,1909463.844
C14H28O,CHO,212.214,14,28,1,0,0,0,0.07,2.00,0.00,0.00,0.00,2875034.911,7783672.498,7660604.556,7142724.502,7472410.852,36228.84474
C12H22O6N4,CHON,318.1539233,12,22,6,4,0,0,0.50,1.83,0.33,0.00,0.00,,1672.999622,1253.906587,9604.621829,12044.92888,7584.008458
C15H28O,CHO,224.214,15,28,1,0,0,0,0.07,1.87,0.00,0.00,0.00,146557.9708,669931.9534,413911.2876,1142472.827,259248.7517,855097.3634
C6H12O7,CHO,196.058305,6,12,7,0,0,0,1.17,2.00,0.00,0.00,0.00,54034.4823,373456.9499,1334605.213,173336.7611,268388.254,151872.5456
C19H32O4,CHO,324.2301,19,32,4,0,0,0,0.21,1.68,0.00,0.00,0.00,515215.1696,1597855.949,1333530.531,488202.7471,332143.7604,1243533.292
C24H22O15,CHO,550.0959,24,22,15,0,0,0,0.63,0.92,0.00,0.00,0.00,10310032.18,19759288.45,12265968.96,22990430.94,24174095.81,11660489.39
C20H27O16N5,CHON,593.1452633,20,27,16,5,0,0,0.80,1.35,0.25,0.00,0.00,114943.8373,29597.61725,39994.58685,101521.8499,449736.2582,699491.016
C16H26O6N6,CHON,398.1913733,16,26,6,6,0,0,0.38,1.63,0.38,0.00,0.00,511348.5743,747550.0137,960215.7583,1166489.034,82871.80332,220737.7104
C21H40O8N11P,CHONP,575.3139533,21,40,8,11,1,0,0.38,1.90,0.52,0.05,11.00,514289.0113,1690187.241,1722116.62,1928597.582,758612.1743,2107444.052
C24H44O5N9P,CHONP,539.3543533,24,44,5,9,1,0,0.21,1.83,0.38,0.04,9.00,2934375.543,2419653.419,3142157.181,1817797.549,1301340.39,1010047.363
C10H19O4N3,CHON,245.1375533,10,19,4,3,0,0,0.40,1.90,0.30,0.00,0.00,134627.292,285093.4391,418804.4192,876099.6338,1003796.26,1483447.646
C14H17O4N3,CHON,291.1219033,14,17,4,3,0,0,0.29,1.21,0.21,0.00,0.00,9102.123374,345459.3114,139426.5556,55856.99074,195534.7566,124131.3687
C17H27O8N7S,CHONS,489.1641833,17,27,8,7,0,1,0.47,1.59,0.41,0.00,0.00,1613145.712,1821897.088,1168485.602,1617874.957,301795.2027,1489366.924
C16H28O5N4S,CHONS,388.1780333,16,28,5,4,0,1,0.31,1.75,0.25,0.00,0.00,140396.268,569134.2489,64815.48502,711158.9144,537893.6917,719621.9537
C29H45O11N11S,CHONS,755.3020633,29,45,11,11,0,1,0.38,1.55,0.38,0.00,0.00,1281045.534,1420123.784,2488848.525,964486.0181,2609730.438,4440520.017
C27H26O14,CHO,574.1323,27,26,14,0,0,0,0.52,0.96,0.00,0.00,0.00,406724.2379,200566.5018,126073.7047,729431.2015,169876.5019,344780.0387
C22H39O4N,CHON,381.2879,22,39,4,1,0,0,0.18,1.77,0.05,0.00,0.00,13387074.46,20705081.45,2302067.977,5209014.298,6348499.38,3665038.286
C22H35O8N5,CHON,497.2485433,22,35,8,5,0,0,0.36,1.59,0.23,0.00,0.00,999999.2159,609803.3761,1319516.066,2427397.361,775152.8807,46995.56039
C28H52O3,CHO,436.3916,28,52,3,0,0,0,0.11,1.86,0.00,0.00,0.00,4582522.299,2811691.677,2503934.839,1000176.273,396338.2799,967070.2499
C19H40O5NP,CHONP,393.2644,19,40,5,1,1,0,0.26,2.11,0.05,0.05,1.00,161323.3818,609323.8479,516812.3152,180238.6614,15698.56496,69112.42849
C8H13O3N,CHON,171.0895,8,13,3,1,0,0,0.38,1.63,0.13,0.00,0.00,734219.3017,4009940.552,21277845.13,22602624.19,20977878.12,17152612.01
C5H12O5,CHO,152.068475,5,12,5,0,0,0,1.00,2.40,0.00,0.00,0.00,276669358.2,433619420.9,358152923.9,451628792.8,454274725.9,425983005.5
C22H38O3,CHO,350.2821,22,38,3,0,0,0,0.14,1.73,0.00,0.00,0.00,264199.0186,83243.19948,221220.6712,352122.8766,213510.2928,571958.1287
C19H32O2,CHO,292.2402,19,32,2,0,0,0,0.11,1.68,0.00,0.00,0.00,558365.3612,453069.3718,235280.8144,831586.3595,737628.0605,1446540.068
C15H24O11N5P,CHONP,451.1550533,15,24,11,5,1,0,0.73,1.60,0.33,0.07,5.00,1603040.877,963820.2314,953941.2126,783070.2856,561960.8703,404991.0542
C12H22O6N3PS,CHONPS,337.1307633,12,22,6,3,1,1,0.50,1.83,0.25,0.08,3.00,329200.5162,329200.5162,503320.8993,2194071.528,984308.8935,529977.8467
C27H36O6N8,CHON,568.2757733,27,36,6,8,0,0,0.22,1.33,0.30,0.00,0.00,34593.58986,29783.506,27785.52513,128115.6197,43943.07938,62908.6978
C16H26O5N4S2,CHONS,418.1344633,16,26,5,4,0,2,0.31,1.63,0.25,0.00,0.00,40988.10717,24923.07076,34008.85735,643942.3232,855425.0365,45640.95643
C21H37O5N5S,CHONS,471.2515333,21,37,5,5,0,1,0.24,1.76,0.24,0.00,0.00,111747.0787,341041.0804,146021.294,324458.7846,573811.9904,3327.290006
C25H32O6N6,CHON,512.2383233,25,32,6,6,0,0,0.24,1.28,0.24,0.00,0.00,56498.69791,170723.5363,125132.4142,388534.7047,957633.6983,167388.6877
C25H30O5,CHO,410.2093,25,30,5,0,0,0,0.20,1.20,0.00,0.00,0.00,1515917.77,1985976.688,1637411.111,2026889.601,839115.1235,1574.988487
C23H42O5N12,CHON,566.3401033,23,42,5,12,0,0,0.22,1.83,0.52,0.00,0.00,1042531.926,684526.3474,287513.7941,2275953.568,1040875.314,1781089.926
C25H22O6,CHO,418.1416,25,22,6,0,0,0,0.24,0.88,0.00,0.00,0.00,695155.6759,1095105.814,325.9348678,2783.389356,354.5255864,
C16H12O7,CHO,316.058305,16,12,7,0,0,0,0.44,0.75,0.00,0.00,0.00,996211.9023,1419682.418,947882.6559,376391.3348,300289.3737,458619.8002
C22H34O6N4S,CHONS,482.2199033,22,34,6,4,0,1,0.27,1.55,0.18,0.00,0.00,679216.2707,419747.2424,324533.0641,44118.72071,50400.09881,76743.9512
C8H13O5N2PS,CHONPS,250.0623433,8,13,5,2,1,1,0.63,1.63,0.25,0.13,2.00,2821397.148,2101992.288,3579802.355,1701855.485,1660365.931,1331321.727
C24H38O5,CHO,406.2719,24,38,5,0,0,0,0.21,1.58,0.00,0.00,0.00,4208502.748,3865049.332,678783.4082,1947738.24,792433.2684,1695189.027
C21H18O14,CHO,494.0697,21,18,14,0,0,0,0.67,0.86,0.00,0.00,0.00,423559.49,721299.6805,1284842.282,586718.0052,389511.3968,70354.00126
C26H36O3NS,CHONS,521.1599,26,36,3,1,0,1,0.12,1.38,0.04,0.00,0.00,646785.0042,508622.3276,767267.8231,324723.5653,131974.3169,656738.7555
C24H38O6N7P,CHONP,521.2961733,24,38,6,7,1,0,0.25,1.58,0.29,0.04,7.00,19167.73435,481934.3486,261353.4784,2457178.649,8538917.036,11262.05029
C18H27O4N7,CHON,405.2124433,18,27,4,7,0,0,0.22,1.50,0.39,0.00,0.00,133341.8762,249619.6512,205647.865,42325.1912,29957.54136,28976.96401
C20H39O3N,CHON,341.293,20,39,3,1,0,0,0.15,1.95,0.05,0.00,0.00,772022.2085,8092009.704,6321276.333,4438164.667,4162916.169,286174.6857
C24H39O5N5S,CHONS,509.2671833,24,39,5,5,0,1,0.21,1.63,0.21,0.00,0.00,49404.5071,260857.4048,281070.7548,6964383.941,210892.2543,184422.4967
C20H25O7N5,CHON,447.1753833,20,25,7,5,0,0,0.35,1.25,0.25,0.00,0.00,9560302.19,8569223.636,2868458.727,1853066.986,1983506.275,2142243.901
C39H55O11N9P2,CHONP,827.4177433,39,55,11,9,2,0,0.28,1.41,0.23,0.05,4.50,1070571.638,566108.3656,266153.9386,743800.3294,641881.4562,75776.17024
C19H31O7N7S,CHONS,501.2005633,19,31,7,7,0,1,0.37,1.63,0.37,0.00,0.00,803120.1822,741879.2863,506658.62,1248708.957,845573.435,1547907.133
C12H8O4,CHO,216.04226,12,8,4,0,0,0,0.33,0.67,0.00,0.00,0.00,3550231.449,4342712.771,498702.8079,2469234.611,2157555.868,2666800.473
C21H30O2,CHO,314.22458,21,30,2,0,0,0,0.10,1.43,0.00,0.00,0.00,197140.1212,290356.0597,448555.1587,1191770.654,1960363.006,1053281.834
C43H88O7NP,CHONP,761.6298,43,88,7,1,1,0,0.16,2.05,0.02,0.02,1.00,17144.79601,23992.01188,13047.57461,94191.99925,33980.11558,820389.6095
C30H57O8P,CHOP,576.3791,30,57,8,0,1,0,0.27,1.90,0.00,0.03,0.00,19928623.13,6482115.029,6765818.646,9972546.042,7945617.692,181759.5072
C22H23O12,CHO,479.119,22,23,12,0,0,0,0.55,1.05,0.00,0.00,0.00,551084.8302,1001768.784,486233.8055,459315.3608,399476.2391,498679.9238
C25H48O7N6,CHON,544.3584333,25,48,7,6,0,0,0.28,1.92,0.24,0.00,0.00,1071398.501,1178845.67,806818.1391,751567.5604,702926.824,692323.7843
C20H28O15N6,CHON,592.1612433,20,28,15,6,0,0,0.75,1.40,0.30,0.00,0.00,971975.8887,1455828.584,1396869.354,1119747.253,544618.4449,1349896.619
C24H44O5N8,CHON,524.3434533,24,44,5,8,0,0,0.21,1.83,0.33,0.00,0.00,92973.37826,156534.7083,233509.7426,77090.16361,211703.966,39552.67759
C12H23O6N3,CHON,305.1586833,12,23,6,3,0,0,0.50,1.92,0.25,0.00,0.00,37037.01587,9400.341831,37037.01587,89366.67734,63302.51439,30457.01414
C24H26O6,CHO,410.17294,24,26,6,0,0,0,0.25,1.08,0.00,0.00,0.00,5365075.937,8269831.396,139913.0223,196898.6212,43946.2623,82876.68143
C20H28O8N6,CHON,480.1968633,20,28,8,6,0,0,0.40,1.40,0.30,0.00,0.00,9777507.535,5716271.174,13523229.04,4288753.615,4273602.536,1490143.761
C24H28O8N4,CHON,500.1907033,24,28,8,4,0,0,0.33,1.17,0.17,0.00,0.00,116937.3489,220750.4578,81893.94639,76046.77271,96393.1013,787.167396
C22H22O10,CHO,446.1213,22,22,10,0,0,0,0.45,1.00,0.00,0.00,0.00,313869.2449,354761.2898,284534.616,194916.98,426956.7156,597251.7966
C6H13O2N,CHON,131.0946233,6,13,2,1,0,0,0.33,2.17,0.17,0.00,0.00,1439392.288,1331135.312,392336.2042,823615.524,2506868.524,1374188.9
C23H24O14,CHO,524.1166,23,24,14,0,0,0,0.61,1.04,0.00,0.00,0.00,115142.5078,174838.8224,283133.7865,128292.3681,212538.3882,5808.666637
C24H33O10N7,CHON,579.2288733,24,33,10,7,0,0,0.42,1.38,0.29,0.00,0.00,313300.1314,143157.1249,249110.6931,249263.3436,371989.1933,146195.2191
C10H18O5,CHO,218.1154,10,18,5,0,0,0,0.50,1.80,0.00,0.00,0.00,941724.8482,1274678.641,720312.3638,94124.1787,79176.65299,118652.4014
C33H58O7N14P2,CHONP,764.4769233,33,58,7,14,2,0,0.21,1.76,0.42,0.06,7.00,443740.1422,246191.0156,152079.1689,31875.07482,60065.47735,39839.08453
C18H25O6N3,CHON,379.1743233,18,25,6,3,0,0,0.33,1.39,0.17,0.00,0.00,3195735.371,5530283.01,7398383.957,4525011.75,1825282.26,5538377.559
C19H30O9N8S,CHONS,546.1856533,19,30,9,8,0,1,0.47,1.58,0.42,0.00,0.00,6702.545346,8335.665666,25212.81714,769013.0723,1330375.136,16659.63003
C18H33O5N7S,CHONS,459.2263833,18,33,5,7,0,1,0.28,1.83,0.39,0.00,0.00,146739.737,601545.8731,1374664.911,578861.5891,792230.5319,713033.9494
C21H29O5,CHO,380.1999,21,29,5,0,0,0,0.24,1.38,0.00,0.00,0.00,5749847.281,8121217.376,5476530.761,2370902.904,2724710.342,2633493.391
C18H36O4N4,CHON,372.2736433,18,36,4,4,0,0,0.22,2.00,0.22,0.00,0.00,19631531.53,21509981.64,10286302.22,6968803.323,2887287.17,5485233.031
C14H18O2,CHO,218.1307,14,18,2,0,0,0,0.14,1.29,0.00,0.00,0.00,433403.1017,640626.1392,701129.2465,358747.6161,949574.997,16255.39589
C16H24O2,CHO,248.1776,16,24,2,0,0,0,0.13,1.50,0.00,0.00,0.00,1241098.077,2318391.215,2473570.191,3630248.653,2007702.726,
C30H26O10,CHO,546.1526,30,26,10,0,0,0,0.33,0.87,0.00,0.00,0.00,10530436.99,23332883.56,25767902.38,18405433.94,20378027.86,1827933.138
C21H39O7N7S,CHONS,533.2631533,21,39,7,7,0,1,0.33,1.86,0.33,0.00,0.00,202264.3482,716843.988,924800.2033,367317.0165,1480206.182,3180.767603
C30H32O6,CHO,488.2199,30,32,6,0,0,0,0.20,1.07,0.00,0.00,0.00,380.3660378,1586.962581,2235.165162,6526.290468,5239.903019,1212.005414
C27H32O14,CHO,580.1792,27,32,14,0,0,0,0.52,1.19,0.00,0.00,0.00,872064.1429,11325399.14,7109447.658,9610580.087,7465447.012,7181364.378
C25H29O6N4P,CHONP,482.2165233,25,29,6,4,1,0,0.24,1.16,0.16,0.04,4.00,344799.8439,287478.2947,112624.9657,572162.5735,366574.0857,5537.944962
C28H37O8N7S,CHONS,631.2424233,28,37,8,7,0,1,0.29,1.32,0.25,0.00,0.00,276532.0693,368808.4239,197518.2758,436892.1461,281422.7045,2305.206356
C24H47O7N7S,CHONS,577.3257633,24,47,7,7,0,1,0.29,1.96,0.29,0.00,0.00,368522.0982,527637.2629,590596.4694,4812.087966,9540.605843,1798.854041
C18H38O,CHO,270.2923,18,38,1,0,0,0,0.06,2.11,0.00,0.00,0.00,101461390.1,97252577.38,212045853.8,10679078.87,7180178.564,3194068.585
C7H9O2,CHO,203.9786,7,9,2,0,0,0,0.29,1.29,0.00,0.00,0.00,620226.0661,1444088.17,1168602.994,1007209.317,3801976.18,2631066.656
C22H40O11,CHO,480.2571,22,40,11,0,0,0,0.50,1.82,0.00,0.00,0.00,454075.5562,475428.9665,866789.589,506180.9121,464215.9412,247791.9446
C21H32O7N5PS,CHONPS,499.2100733,21,32,7,5,1,1,0.33,1.52,0.24,0.05,5.00,5836267.395,11581756.42,8565068.02,8826446.066,5037302.278,4140630.2
C27H35O7N5,CHON,541.2536433,27,35,7,5,0,0,0.26,1.30,0.19,0.00,0.00,49404.5071,72753.92343,72753.92343,455817.1531,210892.2543,184422.4967
C25H39O6N5S,CHONS,537.2620933,25,39,6,5,0,1,0.24,1.56,0.20,0.00,0.00,415639.8411,748251.5794,938511.2818,532075.1768,885614.7146,259118.7249
C19H16O9,CHO,388.0794,19,16,9,0,0,0,0.47,0.84,0.00,0.00,0.00,6418213.163,5598782.094,1933830.4,1874760.092,3218114.127,2148474.767
C22H14O5,CHO,358.0841,22,14,5,0,0,0,0.23,0.64,0.00,0.00,0.00,284873.9581,183052.7433,276333.5301,139952.6323,135679.032,21048.81153
C26H39O6N5S2,CHONS,581.2341733,26,39,6,5,0,2,0.23,1.50,0.19,0.00,0.00,305384.0722,1434680.793,122765.3709,381942.7694,700256.703,835202.8909
C13H24O6N6S,CHONS,392.1478033,13,24,6,6,0,1,0.46,1.85,0.46,0.00,0.00,1181044.838,473927.8967,1199900.607,1269165.04,1303749.264,2043855.966
C21H38O8N10,CHON,558.2874133,21,38,8,10,0,0,0.38,1.81,0.48,0.00,0.00,217320.4767,15873.53437,686178.0913,512662.0867,617104.4785,114385.7378
C16H29O11N5,CHON,467.1863633,16,29,11,5,0,0,0.69,1.81,0.31,0.00,0.00,5049.691199,28147.39687,30409.62107,17904.09984,173928.0633,201860.3328
C23H42O9NP,CHONP,507.2597,23,42,9,1,1,0,0.39,1.83,0.04,0.04,1.00,962.0647547,7335.682585,89487.81264,328061.4325,1113847.61,55221.21675
C24H40O5N8,CHON,520.3121533,24,40,5,8,0,0,0.21,1.67,0.33,0.00,0.00,333216.6521,239115.1956,347665.3882,484466.1577,117041.1999,538291.2318
C22H22O14S,CHOS,542.073,22,22,14,0,0,1,0.64,1.00,0.00,0.00,0.00,1329760.511,14499520.28,1756616.255,17947247.57,17935095.13,2235347.009
C18H33O8N9S,CHONS,535.2172833,18,33,8,9,0,1,0.44,1.83,0.50,0.00,0.00,69287.68588,40833.30175,56009.77134,408974.5021,123909.4578,158228.9093
C18H31ON,CHON,277.2406,18,31,1,1,0,0,0.06,1.72,0.06,0.00,0.00,1829488.356,9145926.897,3739755.122,5832687.691,11461348.84,5723579.314
C27H39O7N7,CHON,573.2910833,27,39,7,7,0,0,0.26,1.44,0.26,0.00,0.00,109453.5993,783705.1975,1049062.205,368120.2232,1470618.273,456153.0631
C21H38O9N6,CHON,518.2700233,21,38,9,6,0,0,0.43,1.81,0.29,0.00,0.00,586426.1635,4231135.782,1410370.354,1923183.533,2714859.224,1413730.124
C17H32O7N6S2,CHONS,496.1773933,17,32,7,6,0,2,0.41,1.88,0.35,0.00,0.00,4756346.363,3084378.885,9990650.493,6614339.22,13019232,2133117.651
C16H16O4,CHO,272.10486,16,16,4,0,0,0,0.25,1.00,0.00,0.00,0.00,1326981.836,404506.8221,1240006.271,1979572.262,2190271.94,1557218.181
C58H110O6,CHO,902.8302,58,110,6,0,0,0,0.10,1.90,0.00,0.00,0.00,1460733.845,1099435.877,1988770.438,165025.7497,1608456.745,2063035.276
C31H52O13N14,CHON,828.3838133,31,52,13,14,0,0,0.42,1.68,0.45,0.00,0.00,10275427.57,6447533.542,5391259.377,4757591.51,12803128.67,18003951.95
C21H36O6N6S,CHONS,500.2417033,21,36,6,6,0,1,0.29,1.71,0.29,0.00,0.00,471667.844,232090.9185,301248.5091,559473.549,145461.8408,532001.2479
C19H24O2,CHO,442.0143,19,24,2,0,0,0,0.11,1.26,0.00,0.00,0.00,36927.67421,36618.92915,64643.04968,160698.5846,44176.89919,173903.3432
C24H43O10N5S,CHONS,593.2730633,24,43,10,5,0,1,0.42,1.79,0.21,0.00,0.00,116360.1883,30810.09212,181151.6266,111462.1959,186056.4733,46619.57731
C24H36O2,CHO,356.2715,24,36,2,0,0,0,0.08,1.50,0.00,0.00,0.00,6324005.552,9629170.955,1093114.549,776467.3228,1007929.092,1335672.048
C15H29O4N,CHON,287.2097,15,29,4,1,0,0,0.27,1.93,0.07,0.00,0.00,6344.650325,8017.363663,5926.710398,19932.05338,23811.04375,5178.636604
C14H26O5N6,CHON,358.1964633,14,26,5,6,0,0,0.36,1.86,0.43,0.00,0.00,1015906.907,2585228.876,2647096.139,1056136.565,1278497.907,200170.6432
C21H27O10N5,CHON,509.1757833,21,27,10,5,0,0,0.48,1.29,0.24,0.00,0.00,823170.1519,636882.4217,1488353.979,1529524.794,3223547.687,3234738.489
C24H21O12,CHO,501.1033,24,21,12,0,0,0,0.50,0.88,0.00,0.00,0.00,80190.77274,218043.7105,248533.8401,148541.4349,161045.0803,98576.34274
C24H38O4,CHO,390.277,24,38,4,0,0,0,0.17,1.58,0.00,0.00,0.00,1772860.358,3031076.951,1467753.149,1840337.225,1032076.564,1998911.39
C27H30O17,CHO,626.1483,27,30,17,0,0,0,0.63,1.11,0.00,0.00,0.00,36354520.53,23666406.25,72792804.28,81301809.28,97948710.65,82365751.94
C23H42O5N8,CHON,510.3278033,23,42,5,8,0,0,0.22,1.83,0.35,0.00,0.00,362035.4066,1149424.224,296369.4796,1366171.904,458478.3363,1461766.784
C35H46O4,CHO,530.3396,35,46,4,0,0,0,0.11,1.31,0.00,0.00,0.00,80234279.56,34270218.76,76450688.11,18920838.68,15800367.5,315690.5479
C27H39O6N7,CHON,557.2961733,27,39,6,7,0,0,0.22,1.44,0.26,0.00,0.00,17547024.96,4252849.124,14384091.44,5447154.477,9762043.864,14338254.29
C39H59O18N11,CHON,969.4039433,39,59,18,11,0,0,0.46,1.51,0.28,0.00,0.00,2756293.866,938774.753,1562158.016,359439.6942,168718.8746,334869.5872
C23H28O7N4,CHON,472.1957933,23,28,7,4,0,0,0.30,1.22,0.17,0.00,0.00,1555303.781,1596083.344,1327514.503,5155369.425,1249952.866,3963176.525
C28H43O3,CHO,446.3196,28,43,3,0,0,0,0.11,1.54,0.00,0.00,0.00,349854.4464,491745.8386,503433.2198,326834.1032,783946.0389,8113.791564
C20H20O4,CHO,324.13616,20,20,4,0,0,0,0.20,1.00,0.00,0.00,0.00,1374895.208,650825.0431,595816.3628,251809.2775,164104.3083,3734.480698
C23H22O14,CHO,522.101,23,22,14,0,0,0,0.61,0.96,0.00,0.00,0.00,8460151.854,14680312.41,9485086.942,25206989.05,13067424.14,9246861.533
C19H37O5N7S2,CHONS,507.2297633,19,37,5,7,0,2,0.26,1.95,0.37,0.00,0.00,735957.795,422090.79,490899.6059,284909.9833,263093.5028,786057.7077
C12H23O5N,CHON,261.158,12,23,5,1,0,0,0.42,1.92,0.08,0.00,0.00,2677350.344,2936663.315,636494.3096,1961762.489,2524660.739,1961762.489
C11H19ON,CHON,181.1467,11,19,1,1,0,0,0.09,1.73,0.09,0.00,0.00,1396879.095,1310776.997,825402.0504,2281563.88,1105011.816,1612449.37
C28H50O7NP,CHONP,543.3325,28,50,7,1,1,0,0.25,1.79,0.04,0.04,1.00,1693224.692,3316251.867,1034600.628,675688.6411,1595925.501,601470.954
C16H31O5N7,CHON,401.2386633,16,31,5,7,0,0,0.31,1.94,0.44,0.00,0.00,113759.7388,13099.24467,182054.2038,254110.8281,47528.27923,
C19H36O3,CHO,312.2664,19,36,3,0,0,0,0.16,1.89,0.00,0.00,0.00,1058858.792,2728014.034,246865.7365,742601.8207,259232.2994,789581.9683
C16H30O,CHO,238.2297,16,30,1,0,0,0,0.06,1.88,0.00,0.00,0.00,391873.9564,674864.0022,504428.3231,133060.2482,491180.8265,
C24H24O12,CHO,504.1268,24,24,12,0,0,0,0.50,1.00,0.00,0.00,0.00,1312331.937,914516.9572,1126982.69,53553.31552,30462.43534,5.564054205
C26H40O6N6,CHON,532.3009233,26,40,6,6,0,0,0.23,1.54,0.23,0.00,0.00,505598.0735,1275460.906,995345.1042,811721.7382,542954.3504,725776.0325
C19H32O10N6S,CHONS,536.1900533,19,32,10,6,0,1,0.53,1.68,0.32,0.00,0.00,1090712.464,4178557.635,,2152932.767,,
C36H73O4N,CHON,583.554,36,73,4,1,0,0,0.11,2.03,0.03,0.00,0.00,224440.5686,604043.5148,419045.7317,348214.3266,123442.0836,238360.9513
C32H51O12N13,CHON,809.3780033,32,51,12,13,0,0,0.38,1.59,0.41,0.00,0.00,179135.8213,238812.9716,219566.5548,58076.1938,38439.32628,77909.06981
C18H36O3,CHO,300.2664,18,36,3,0,0,0,0.17,2.00,0.00,0.00,0.00,1925836.473,2526418.642,1437110.666,2249022.231,1686235.148,1188764.241
C25H38O6N10,CHON,574.2975633,25,38,6,10,0,0,0.24,1.52,0.40,0.00,0.00,2415549.76,4907597.38,9483386.12,5908977.282,4625366.064,8058067.125
C20H34O3,CHO,322.2508,20,34,3,0,0,0,0.15,1.70,0.00,0.00,0.00,286607.369,363368.4185,204745.7147,661509.8449,1170722.898,365687.7604
C23H47O5N11,CHON,557.3761533,23,47,5,11,0,0,0.22,2.04,0.48,0.00,0.00,373300.6094,363928.645,873504.9285,4453153.851,3837749.809,519209.4949
C40H60O8N10P2,CHONP,810.4751933,40,60,8,10,2,0,0.20,1.50,0.25,0.05,5.00,475691.9924,583573.6098,149131.9358,20367.3474,246861.9221,187053.7373
C26H35O7N5,CHON,529.2536333,26,35,7,5,0,0,0.27,1.35,0.19,0.00,0.00,1308486.737,16081265.2,10581863.17,13265985.05,10616703.2,10025220.07
C29H46O7,CHO,506.3244,29,46,7,0,0,0,0.24,1.59,0.00,0.00,0.00,1000087.549,1400885.2,1782038.459,1654644.076,575043.1054,1764426.933
C16H30O6N8,CHON,430.2288233,16,30,6,8,0,0,0.38,1.88,0.50,0.00,0.00,2651848.786,14069029.77,12476261.96,4967695.38,8794632.596,5699381.222
C20H32O11N7PS,CHONPS,579.1958733,20,32,11,7,1,1,0.55,1.60,0.35,0.05,7.00,4392963.623,2532300.877,7417984.553,5806405.962,8571275.692,6523391.958
C25H34O7N8,CHON,558.2550333,25,34,7,8,0,0,0.28,1.36,0.32,0.00,0.00,345591.2862,664670.9721,384283.9378,692193.7619,2994182.518,26774.9434
C57H108O6,CHO,888.8146,57,108,6,0,0,0,0.11,1.89,0.00,0.00,0.00,2714986.463,2386126.833,2551084.85,3740612.894,3606701.801,704286.6329
C15H27O7N4PS2,CHONPS,440.1399533,15,27,7,4,1,2,0.47,1.80,0.27,0.07,4.00,5545076.36,8573752.063,10647036.04,969358.5969,1112261.686,498562.9323
C10H8O3,CHO,176.047345,10,8,3,0,0,0,0.30,0.80,0.00,0.00,0.00,86309.99749,998215.749,643361.0274,416256.8732,435644.7829,1581.56188
C14H26O4N6S,CHONS,374.1736233,14,26,4,6,0,1,0.29,1.86,0.43,0.00,0.00,2129542.322,1599540.6,1240004.988,1649131.55,1160151.057,2277726.134
C28H39O8,CHO,538.2333,28,39,8,0,0,0,0.29,1.39,0.00,0.00,0.00,,49.20023962,,10811.22678,10038.09512,465.7623073
C21H34O9N6,CHON,514.2387233,21,34,9,6,0,0,0.43,1.62,0.29,0.00,0.00,389.6473984,2175.146608,1873.821674,86921.94534,22034.20665,4178.085252
C20H35O9N5S2,CHONS,553.1876233,20,35,9,5,0,2,0.45,1.75,0.25,0.00,0.00,7956.474992,4041.685973,5486.896643,28886.37072,42553.40562,18200.58631
C15H26O4N8,CHON,382.2076933,15,26,4,8,0,0,0.27,1.73,0.53,0.00,0.00,1989334.361,13079886.04,20761407.29,19176530.6,57582333.75,4878018.957
C22H30O6N6,CHON,474.2226733,22,30,6,6,0,0,0.27,1.36,0.27,0.00,0.00,323613.2227,27352.48516,124720.1799,529612.2964,1169092.354,849265.7759
C17H28O9N6S,CHONS,492.1638433,17,28,9,6,0,1,0.53,1.65,0.35,0.00,0.00,49496664.07,42024012.21,49987712.61,61662346.41,20756147.13,43806904.64
C11H21O5N3S2,CHONS,339.0922733,11,21,5,3,0,2,0.45,1.91,0.27,0.00,0.00,527309.1019,128158.5432,246946.9997,158685.8141,403901.9481,363555.776
C20H18O4,CHO,322.12051,20,18,4,0,0,0,0.20,0.90,0.00,0.00,0.00,146603.5155,65135.04003,93336.31608,627808.0413,57569.65677,207693.8472
C19H28O3,CHO,304.2038,19,28,3,0,0,0,0.16,1.47,0.00,0.00,0.00,809581.1288,1796910.638,2020283.75,2708729.526,1631278.246,3766394.438
C21H34O12N9P,CHONP,605.2405133,21,34,12,9,1,0,0.57,1.62,0.43,0.05,9.00,6228872.439,940271.193,4960937.245,634464.9316,4090482.403,5565716.666
C28H51O2,CHO,498.3072,28,51,2,0,0,0,0.07,1.82,0.00,0.00,0.00,4195153.043,3499327.704,2669935.87,4993006.534,641391.5493,3365574.598
C26H32O7,CHO,456.2148,26,32,7,0,0,0,0.27,1.23,0.00,0.00,0.00,353356.0223,653959.8405,988279.2058,787023.7893,773076.2342,589471.3845
C22H36O9N6S2,CHONS,592.1985133,22,36,9,6,0,2,0.41,1.64,0.27,0.00,0.00,1606763.112,2051609.515,338739.1541,243053.8617,722812.2567,1348.022342
C9H12O2,CHO,152.0837,9,12,2,0,0,0,0.22,1.33,0.00,0.00,0.00,1052273.483,3747885.49,2686567.262,3267508.553,1246122.751,359873.7985
C13H8O6,CHO,260.03209,13,8,6,0,0,0,0.46,0.62,0.00,0.00,0.00,323407.1656,548558.861,80276.06986,382678.6209,517717.4675,64385.21214
